indice_tiempo,ica_exportaciones_total_general,ica_exportaciones_total_productos_primarios,ica_exportaciones_animales_vivos,ica_exportaciones_pescados_mariscos,ica_exportaciones_miel,ica_exportaciones_hortalizas_legumbres_sin_elaborar,ica_exportaciones_frutas_frescas,ica_exportaciones_cereales,ica_exportaciones_semillas_frutos_oleaginosos,ica_exportaciones_tabaco_sin_elaborar,ica_exportaciones_lanas_sucias,ica_exportaciones_fibra_algodon,ica_exportaciones_mineral_cobre_concentrados,ica_exportaciones_resto_primarios,ica_total_moa,ica_carnes,ica_pescados_mariscos_elaborados,ica_productos_lacteos_huevos,ica_otros_productos_origen_animal,ica_frutas_secas_procesadas,ica_cafe_te_yerba_mate_especias,ica_productos_molineria,ica_grasas_aceites,ica_azucar_articulos_confiteria,ica_hortalizas_legumbres_frutas_preparadas,ica_bebidas_liquidos_alcoholicos_vinagre,ica_residuos_desperdicios_industria_alimenticia,ica_extractos_curtientes_tintor,ica_pieles_cueros,ica_lanas_elaboradas,ica_resto_moa,ica_total_moi,ica_productos_quimicos_conexos,ica_materias_plasticas_artificiales,ica_caucho_sus_manufacturas,ica_manufacturas_cuero_marroquineria,ica_papel_carton_impresos_publicaciones,ica_textiles_confecciones,ica_calzado_partes_componentes,ica_manufacturas_piedra_yeso,ica_piedras_metales_preciosos,ica_metales_comunes_manufacturas,ica_maquinas_aparatos_materiales_electricos,ica_material_transporte_terrestre,ica_vehiculos_navegacion_aerea_maritima_fluvial,ica_resto_moi,ica_total_combustibles_energia,ica_petroleo_crudo,ica_carburantes_grasas_aceites_lubricantes,gas_petroleo_otros_hidrocarburos,ica_energia_electrica,ica_resto_combustibles
1992-01-01,725.798174,133.367679,0.505194,22.047199,3.809077,21.876559,14.239892,45.547102,19.538213,0.807244,2.034313,0.064695,0.851916,2.046275,353.60383,64.037439,19.227399,2.382412,0.634469,0.382786,3.101543,5.560125,71.274072,2.83276,10.4438,3.46943,125.802774,5.538274,31.283853,6.013889,1.618805,169.85537100000005,26.061202,12.518717,3.614045,5.27819,10.068853,7.146877,2.923679,6.005189,0.23773,29.810438,37.359934,16.862867,5.240765,6.726885,68.84554800000001,29.251779,31.893742,4.144817,0.0,3.55521
1992-02-01,851.896974,188.034116,0.87083,19.032655,5.756942,18.808046,37.58346,80.632051,11.634396,4.300211,2.763815,0.037957,0.0059,6.607853,396.893604,70.773736,38.278705,3.166733,0.447987,0.289792,3.662586,4.429585,89.652772,4.097251,12.270661,4.342569,112.625442,4.740191,38.573693,6.624873,2.917028,204.453067,42.39108,10.991252,2.75702,5.480412,10.467069,9.523779,4.021514,5.748349,0.122513,57.414415,31.566474,18.060001,0.2026,5.706589,62.501529,22.121224,31.252193,1.79982,0.0,7.328292
1992-03-01,984.648674,320.98446599999994,0.697096,34.969729,6.570723,13.023373,46.865398,164.865627,21.563881,16.079324,8.636412,0.957838,1.1846,5.570465,393.966223,63.254424,23.681638,2.813449,0.415542,0.607441,4.240549,7.92443,118.714846,4.531259,22.668384,4.250747,79.456316,4.951016,41.675108,11.451179,3.329895,210.621786,38.070338,8.828336,2.602488,4.795567,16.111135,11.259554,3.494552,6.268603,0.2046,56.772599,38.411961,16.693698,2.205804,4.902551,58.970218,34.108656,18.757213,2.873046,0.378265,2.853038
1992-04-01,998.051464,375.242075,0.705392,27.584509,6.373365,11.503317,42.14021,212.201256,31.478944,27.640535,5.246406,6.18573,0.236776,3.945635,330.719966,67.397828,17.272755,2.551228,1.091266,1.240009,3.603777,4.119548,73.958595,2.185887,28.31649,5.890092,67.236578,6.644879,38.54887,8.569304,2.09286,222.833784,39.949717,10.344126,2.745313,5.519995,15.395615,10.414813,4.67091,5.137778,0.263175,63.900671,37.384285,20.170104,1.055706,5.881576,69.16025,36.180682,24.598652,4.133319,0.119467,4.12813
1992-05-01,1137.679956,474.440656,1.225952,27.739611,5.694092,9.677077,41.781644,194.670354,154.031489,17.509207,5.547974,11.845459,0.618812,4.098985,392.91383400000007,59.79783,18.066166,1.533246,0.77674,1.44168,3.732272,3.109158,95.589645,1.984605,39.193185,4.615469,107.955865,4.987946,37.648901,8.534316,3.94681,209.81790900000001,41.291797,12.543613,3.150829,5.183,10.64076,9.619143,4.945916,3.951497,0.189564,46.165152,35.17429,27.930373,2.53631,6.495665,60.379000999999995,20.438015,32.574864,1.738228,0.116372,5.511522
1992-06-01,1193.100746,442.90569800000003,0.938696,27.786688,4.468857,9.016378,28.440805,180.043839,153.402145,21.701473,4.529383,9.818602,0.12407,2.634762,423.10352599999993,52.384588,20.324478,2.620064,1.152514,3.260221,4.209679,3.623918,94.459297,2.117139,48.041162,5.533927,127.555709,4.27423,42.563366,7.060588,3.922646,253.46086499999998,49.031386,10.928412,3.720689,6.418948,8.479288,9.481821,5.257713,6.01648,0.346786,58.386485,45.277689,38.619659,5.032929,6.46258,73.59950000000002,15.988282,51.108449,2.263823,0.131459,4.107487
1992-07-01,1195.712358,455.98371800000007,0.700336,27.349524,3.650493,11.86495,21.314163,189.385054,173.029777,13.561886,0.360904,11.491752,0.0,3.274879,438.821509,68.263748,22.347511,2.282553,0.82239,2.587519,4.867542,6.528841,107.696516,6.419988,26.074201,4.880877,134.319014,5.716646,36.126687,7.939892,1.947584,229.570777,41.096516,14.906781,3.770819,4.540931,8.492659,9.087783,4.936777,4.586715,0.407467,37.979186,45.755857,33.100056,15.85004,5.05919,71.305482,6.956171,56.888062,2.006752,0.479978,4.974519
1992-08-01,1076.604947,346.11888000000005,0.837398,29.340783,4.221624,16.544132,18.241465,140.538894,105.91595,13.799454,2.756946,8.557979,0.846425,4.51783,431.532242,76.630961,13.768425,2.563185,1.05585,3.033951,3.911262,6.912,96.190629,10.247665,21.975755,5.328736,131.351168,6.988373,40.46323,7.864088,3.246964,243.30130999999997,55.628501,12.467196,2.634908,6.317132,12.117505,10.830814,4.793492,6.314968,0.333062,44.255403,49.734668,29.288228,0.625731,7.959702,55.56455700000001,26.201083,20.890087,3.6825,0.036394,4.754493
1992-09-01,1061.597203,251.83012,0.612098,28.161996,3.359483,16.370639,13.199619,95.388836,64.916116,15.10609,2.6023,6.094347,0.248225,5.770371,428.717675,62.443369,13.986031,4.628453,0.654695,2.814812,4.032836,5.154744,79.288641,5.305288,17.182579,8.216713,163.261475,5.350754,43.59175,6.182813,6.622722,246.712013,51.578342,11.170247,3.279387,6.4569,9.642466,9.53428,5.265255,6.443612,0.582581,49.790931,52.544477,29.30339,1.677258,9.442887,134.293494,17.622693,97.295372,12.217447,0.034896,7.123086
1992-10-01,952.050346,180.39997199999996,0.565453,32.225278,3.503238,12.630037,3.074461,86.399413,23.5616,4.780205,1.396232,5.788274,0.64457,5.831211,414.5890120000001,51.738786,14.382702,2.574769,0.608815,3.171187,2.740687,7.108026,88.494988,5.563199,11.352944,5.747281,169.434304,5.004316,37.133412,5.092955,4.440641,252.555803,46.412128,14.23215,3.722426,8.202917,9.120985,9.24799,3.112499,7.185956,0.411229,69.739174,43.289821,29.344396,2.511127,6.023005,104.48357500000002,22.889125,75.633456,2.711402,0.165766,3.083826
